"ClimateZone","level","from","to","x","n","n1","n2","pvalue","p.adj"
"Af","Class","chloroplast","saprospirae",2,919,5,12203,0.00378861614635673,0.0269607169704165
"Af","Class","chloroplast","solibacteres",1,919,2,12206,0.00566115084903374,0.0309407027928764
"Af","Class","chloroplast","sphingobacteriia",1,919,9,12199,0.143282073389067,0.228516467251839
"Af","Class","clostridia","deltaproteobacteria",1,919,8,12200,0.117069554880452,0.198445575180247
"Af","Class","clostridia","elusimicrobia",1,919,1,12207,0,0
"Af","Class","clostridia","gemmatimonadetes",1,919,3,12205,0.0161328421377018,0.0578212032566607
"Af","Class","clostridia","leptospirae",1,919,1,12207,0,0
"Af","Class","clostridia","opitutae",1,919,2,12206,0.00566115084903374,0.0309407027928764
"Af","Class","clostridia","pedosphaerae",1,919,1,12207,0,0
"Af","Class","clostridia","planctomycetia",1,919,3,12205,0.0161328421377018,0.0578212032566607
"Af","Class","clostridia","unassigned",1,919,1,12207,0,0
"Af","Class","cytophagia","flavobacteriia",1,919,7,12201,0.0922695340456144,0.168717694572642
"Af","Class","cytophagia","gammaproteobacteria",1,919,36,12172,0.765558062969667,0.799418731586168
"Af","Class","cytophagia","gemmatimonadetes",2,919,6,12202,0.00715408133177231,0.0349484840674035
"Af","Class","cytophagia","pedosphaerae",1,919,8,12200,0.117069554880452,0.198445575180247
"Af","Class","cytophagia","planctomycetia",1,919,3,12205,0.0161328421377018,0.0578212032566607
"Af","Class","cytophagia","saprospirae",1,919,18,12190,0.397418098593855,0.478106450188552
"Af","Class","cytophagia","unassigned",1,919,2,12206,0.00566115084903374,0.0309407027928764
"Af","Class","cytophagia","verrucomicrobiae",1,919,3,12205,0.0161328421377018,0.0578212032566607
"Af","Class","da052","planctomycetia",1,919,4,12204,0.0306602224654142,0.0846440475787835
"Af","Class","da052","saprospirae",1,919,3,12205,0.0161328421377018,0.0578212032566607
"Af","Class","da052","solibacteres",1,919,5,12203,0.0485746266781192,0.111950876721603
"Af","Class","da052","thermoleophilia",1,919,5,12203,0.0485746266781192,0.111950876721603
"Af","Class","deltaproteobacteria","deltaproteobacteria",6,919,93,12115,0.556835225634977,0.619997247455429
"Af","Class","deltaproteobacteria","ellin6529",2,919,18,12190,0.149354665675572,0.234410882060305
"Af","Class","deltaproteobacteria","elusimicrobia",1,919,3,12205,0.0161328421377018,0.0578212032566607
"Af","Class","deltaproteobacteria","flavobacteriia",1,919,9,12199,0.143282073389067,0.228516467251839
"Af","Class","deltaproteobacteria","gammaproteobacteria",8,919,109,12099,0.437248254830347,0.513641124216804
"Af","Class","deltaproteobacteria","gemmatimonadetes",5,919,43,12165,0.101149984483953,0.179072537586674
"Af","Class","deltaproteobacteria","nitrospira",3,919,52,12156,0.557177769759659,0.619997247455429
"Af","Class","deltaproteobacteria","opitutae",1,919,15,12193,0.313367318124383,0.399358242870038
"Af","Class","deltaproteobacteria","pauc37f",1,919,23,12185,0.525420901913416,0.592137633069156
"Af","Class","deltaproteobacteria","pedosphaerae",1,919,41,12167,0.825211687487751,0.848893933657091
"Af","Class","deltaproteobacteria","planctomycetia",5,919,53,12155,0.206532863196176,0.294079084550988
"Af","Class","deltaproteobacteria","saprospirae",4,919,86,12122,0.785253424984858,0.81604863692547
"Af","Class","deltaproteobacteria","solibacteres",2,919,40,12168,0.58850908114749,0.646679163346774
"Af","Class","deltaproteobacteria","spartobacteria",3,919,35,12173,0.268120272602577,0.357122319301563
"Af","Class","deltaproteobacteria","sphingobacteriia",2,919,27,12181,0.332326812883545,0.418480926774854
"Af","Class","deltaproteobacteria","sva0725",2,919,5,12203,0.00378861614635673,0.0269607169704165
"Af","Class","deltaproteobacteria","thermoleophilia",2,919,50,12158,0.737106798020699,0.775056237131968
"Af","Class","deltaproteobacteria","unassigned",1,919,16,12192,0.341804220170622,0.427197113130864
"Af","Class","ellin6529","flavobacteriia",1,919,2,12206,0.00566115084903374,0.0309407027928764
"Af","Class","ellin6529","gammaproteobacteria",4,919,21,12187,0.0176385376227713,0.0611860863884189
"Af","Class","ellin6529","opitutae",1,919,5,12203,0.0485746266781192,0.111950876721603
"Af","Class","ellin6529","pedosphaerae",1,919,7,12201,0.0922695340456144,0.168717694572642
"Af","Class","ellin6529","planctomycetia",1,919,7,12201,0.0922695340456144,0.168717694572642
"Af","Class","ellin6529","solibacteres",1,919,2,12206,0.00566115084903374,0.0309407027928764
"Af","Class","ellin6529","sphingobacteriia",1,919,5,12203,0.0485746266781192,0.111950876721603
