"No. of Samples","No. of ESVs","Freq of Samples","Freq. of ESVs","cumsumFreq ESVs"
1514,2,0.353821,1.2e-05,0.997542
1516,2,0.354288,1.2e-05,0.997554
1517,1,0.354522,6e-06,0.99756
1519,1,0.354989,6e-06,0.997566
1521,1,0.355457,6e-06,0.997572
1524,1,0.356158,6e-06,0.997578
1525,1,0.356392,6e-06,0.997584
1526,1,0.356625,6e-06,0.99759
1527,1,0.356859,6e-06,0.997596
1528,1,0.357093,6e-06,0.997602
1531,1,0.357794,6e-06,0.997608
1534,1,0.358495,6e-06,0.997614
1535,1,0.358729,6e-06,0.99762
1537,1,0.359196,6e-06,0.997626
1538,4,0.35943,2.4e-05,0.99765
1542,2,0.360365,1.2e-05,0.997662
1543,2,0.360598,1.2e-05,0.997674
1545,1,0.361066,6e-06,0.99768
1547,1,0.361533,6e-06,0.997686
1548,1,0.361767,6e-06,0.997692
1549,1,0.362,6e-06,0.997698
1551,1,0.362468,6e-06,0.997704
1552,1,0.362702,6e-06,0.99771
1553,1,0.362935,6e-06,0.997716
1554,2,0.363169,1.2e-05,0.997728
1556,2,0.363636,1.2e-05,0.99774
1561,2,0.364805,1.2e-05,0.997752
1562,1,0.365039,6e-06,0.997758
1564,1,0.365506,6e-06,0.997764
1565,1,0.36574,6e-06,0.99777
1567,1,0.366207,6e-06,0.997776
1568,1,0.366441,6e-06,0.997782
1570,2,0.366908,1.2e-05,0.997794
1571,2,0.367142,1.2e-05,0.997806
1572,2,0.367376,1.2e-05,0.997818
1574,1,0.367843,6e-06,0.997824
1576,2,0.36831,1.2e-05,0.997836
1578,2,0.368778,1.2e-05,0.997848
1579,1,0.369011,6e-06,0.997854
1580,1,0.369245,6e-06,0.99786
1581,2,0.369479,1.2e-05,0.997872
1582,1,0.369713,6e-06,0.997878
1586,1,0.370647,6e-06,0.997884
1587,1,0.370881,6e-06,0.99789
1588,1,0.371115,6e-06,0.997896
1589,2,0.371348,1.2e-05,0.997908
1590,1,0.371582,6e-06,0.997914
1591,2,0.371816,1.2e-05,0.997926
1594,1,0.372517,6e-06,0.997932
1598,2,0.373452,1.2e-05,0.997944
1599,1,0.373685,6e-06,0.99795
1600,1,0.373919,6e-06,0.997956
1602,2,0.374387,1.2e-05,0.997968
1606,1,0.375321,6e-06,0.997974
1608,1,0.375789,6e-06,0.99798
1609,1,0.376022,6e-06,0.997986
1610,1,0.376256,6e-06,0.997992
1612,1,0.376724,6e-06,0.997998
1613,5,0.376957,2.9e-05,0.998027
1616,1,0.377658,6e-06,0.998033
1621,1,0.378827,6e-06,0.998039
1622,2,0.379061,1.2e-05,0.998051
1628,1,0.380463,6e-06,0.998057
1630,2,0.38093,1.2e-05,0.998069
1631,1,0.381164,6e-06,0.998075
1632,2,0.381398,1.2e-05,0.998087
